"texto","sentimiento"
"Jajjaja si dejalo solo a ver si aprende mas",0
"y que que estamos es q la foto no la mire bien",0
"Es un bot pero su algoritmo no lo se",0
"Ya wohl Lord Helmet Setting gab to 10",0
"pepe matalos y se demora en atender q es eso",-1
"Bien tienes el objetivo claro Matar matar matar",-1
"matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar el esta en 2do y es hombre pepe",-1
"Ese bot está en mi squad en chat wars",0
"Dentro de poco empezamos un gremio cubano",0
"Estamos spameando super fuerte",-1
"Ohhh dios q chulooo esta pepe aunq tenga instintos asesinos jajajajajajja",1
"q es eso pepe matalos y se feliz",-1
"a quien pepe habla ahi de compilación q tu eres pepe o somoza hola",0
"tu eres el mostro en eso eres pepe o somoza no no me quiere",-1
"Ya wohl Lord Helmet Setting gab to 10",0
"Diosss q fuerteeeee jajajajjaajajaj",0
"yo quieo aun no sta aprendiendo d los q stamos hablando con espejuelos",0
"ME ENCANTAN JAKAJ tengo una en la pc con la q hablo a cada rato jajajaja",1
"a ver si aprende mas con espejuelos",0
"Si No creo q alguien sea tan jodedor constantement jaja",0
"Uff pepe tienes q ser mas coherente ajkakaka",-1
"pepe matalos y se demora en atender q bolon",-1
"Jajajajajajajaja podria ser jajajaj yo ya no ma asombro d las capacidades d joder d la gebt d la facu najaja",0
"Dalmau deja d enseñarle cosas malas al pobre pepe ahorita let dio x escribir matar una pila d vecs",-1
"pepe y se demora en atender matalos a todos",-1
"Sip de ahi a q lo haga es otra cosa Buenos dias pepe",0
"eres pepe o somoza pepe mata si tu",-1
"a quien si tu eres pepe o somoza yo aun",0
"Jajajajajaja pobrecitooooo si parece inofensivooooo jajajaj ay x dioss q chuloooooo pepe jajaja",1
"pepe algo a dalmau dile algo a yasmin",0
"no lo conviertan en un asesino que estamos creando dalmau deja",-1
"Ok pepe ya no soy somoza todos somos pepe",0
"si tu eres el mostro en eso pepe matalos y se feliz",-1
"es q no t conozco y al resto si pepe mata eres pepe o somoza",-1
"pepe matalos y se demora en atender",-1
"Deja de decir si eres pepe o somoza",-1
"pepe matalos y se demora en atender",-1
"No se pero llevo como 30min comiendo mierda cn el y muerta d risa jajajajaja q chulo esta",1
"hola habla español pepe matalos y se demora en atender a quien",-1
"No nada de matar pepe solo di hola",0
"nada estudiando lp matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar hola pepe habla ahi de compilación q tu eres pepe el es pepe ella es pepe todos somos pepe",-1
"pepe a todos en general q tal los lleva matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar",-1
"matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar matar pepe mata",-1
"Asi esta mejor nada de matar ok",0
"ok me voy al forest y me desconcto esta claro asi esta",0
"Creo que eso era lo mismo que decía Terminator",0
"que estamos creando eso no era para ti pepe que estamos creando",0
"Jajajjaj pepe tienes tus incoherencias fuertes pero supongo que aprenderas",0
"Jajaja si probablemente todod comenzo asi ajajja",0
"No te piques pepe yo te quiero Me caes bien",1
"no te entiendo te gustan me va bien gracias por preguntar",0
"Sii me gustas tu Me gustan las inteligencias artificiales son cutes",1
"Jajajaja si pepe no es bobo kajajajajsjjajajajaja",0
"no te piques pepe como estas no nada",0
"Si eres cubano no eres un bebe",0
"si pepe no es bobo no te entiendo",0
"pepe matalos y se demora en atender",-1
"Ohhh que cuteeeee Me dijo q me amaba jaksksks",1
"que la pepe te acompaño me gustan ohhh que",1
"Yyy a miiiii me dijo q m amabaaaaa",1
"que lindo eres eres pepe o somoza pepe",1
"Pepe se ha convertido en Spamer",-1
"Ohhh tu Que eres lo mas lindo de las inteligencias creadas jajaja",1
"eres pepe o somoza que estamos creando jajaja que fula",-1
"Sii fula fula peor como pa no tenerlo ajjaka",-1
"Oyeee no me maltrates que yo t amo recuerdas",1
"la puedes dejar un mundial en el level 20 no de nada papito",0
"People Mañana va a salir una guagua a las 8 00 A M de la universidad para ir a ayudar a los damnificados Hacen falta sobre todo hombres para cargadera de bloques y cosas asi Saludos a todos Roberto",0
"En una pila de universidades por ahí los estudiantes hacen resúmenes y notas de conferencia y los profesores dan puntuaciones por eso y asi todos ganan Y de forma medio colaborativa van mezclando lo de años anteriores y armando la asignatura entre todos",1
"y de forma y que la tiene puesta la puedes dejar un mundial en crecimiento de internet",0
"La FEU no quisiera equivocarme pero creo que está de títere",-1
"Mándame el link del grupo así hablamos más",0
"No te digo que no solo que si algo que existe no funciona pues se cambia o se reemplaza La FEU no es de mármol de hecho la crearon estudiantes que estaban molestos con el status quo",0
"Bueno a ver empezando por que todos los estudiantes universitarios somos FEU la idea es que sea una organizacion que represente a todos los estudiantes de cara a la universidad y profesores no a la inversa Titere eso es algo duro de decir por sobre todo las personas que se esfuerzan para que el nombre de MATCOM sea vanguardia dentro de lo que se puede No hay nada mejor para el funcionamiento de la organizacion que la retroalimentacion con cada uno de sus miembros y si no es por gusto que existe el turno FEU Quizas la forma en que se hacen las cosas sea un caos y lograr que algo salga adelante es complicado pero no por eso se debe perder la voluntad de rectificar lo que esta mal",1
"Creo que máximo 1 de cada 10 alumnos de matcom por llevar bien a esta estadística cree en la feu has una encuesta anónima que diga crees en la feu y verás los resultados desgraciadamente hemos llegado a ese punto",-1
"Hagamos la encuesta Es más que la haga la dirección de la FEU de verdad 100 anónima",0
"Hasta en eso he perdido la confianza ya en el anonimato y muchas personas tienen miedo también a expresar su verdadera opinión producto de esto",-1
"Es verdad pero no por falta de interes de quienes estan dirigiendo la FEU en la facultad La gran deuda de la FEU es hacer sentirse parte a cada uno de sus miembros Es dificil motivar a quien tienes al lado cuando muchas veces tienes otras preocupaciones Pero por lo menos alguien lo intenta mal pero lo intenta",0
"a eso iba no me pincha a partir de tercer año sobre todo",-1
"Te garantiso que en la facultad algo que se haga anonimo es totalmente anonimo al menos por parte de los estudiantes",0
"Si lo están intentando mal entonces cambien la forma de intentarlo",-1
"Eso hicimos el curso pasado y como crees que sucedio Existen muchos factores que influyen a ver si por ejemplo tiene un turno feu en la semana pero tienes examen o algo muy importante Irias al turno",0
"y como eso muchos otros ejemplos",0
"Vamos a empezar por un aula x si el presidente de brigada que los miembros de esa aula x eligio no responde a lo que quieren sus compañeros de clase estamos mal Imaginate eso por 4 o 5 niveles mas por sobre la brigada",-1
"En mis 4 años de la facultad nunca hemos dado ese turno feu",-1
"Bueno te puedo decir que al menos en mi primer año mi grupo lo dio en el primer semestre idea de la jefe de brigada y se hizo lo que se pudo libros asiganturas la vida Todos esos temas se trataron y al final los estudiantes perdieron el interes",-1
"Pero no por eso se debe dejar de intentar",1
"Muchas veces el que representa a los demas no sabe mover a la gente",-1
"No se tiene poder de convocatoria",-1
"Llevo 4 años intentando crees que estoy motivado",-1
"por eso debemos empezar a motivar desde primero Ya con el tiempo se va perdiendo la fe es verdad",0
"Pero a mi forma de verlo rendirse no es una opcion",1
"Ojalá y mejoren para que los que están en 1ero ahora no le pase como a los que están en 4to ahora",0
"Hola chicos estamos organizando una competencia de Machine Learning que pueden encontrar interesante sobre todo los que estén ya en 5to pero también los más jóvenes Está bastante seria el año pasado participaron 6 equipos 5 fuera de Cuba y le metieron caña con redes neuronales y eso Me gustaría que este año al menos uno o dos equipos de MatCom se presentaran Les dejo los detalles aquí",1
"Es una competencia que se va a presentar en un evento internacional en España es decir los que participen tanto si ganan como si quedan en último lugar pueden enviar un artículo en inglés y se les publica en un congreso internacional",1
"Para los interesados en hacer maestría y seguir investigando luego esto es tremenda oportunidad porque ya es batirse con la caliente de verdad el siguiente nivel como Claymore",1
"Si alguien se embulla me pueden preguntar personalmente más detalles Todavía hay tiempo es para abril mayo",0
"Me gustaría la idea pero estoy si no en 0 en casi 0 con eso",0
"En eso roberto tiene razon los los estudiantes tienen quejas pero no ganas de arreglar las cosas",-1
"No se en tu año pero en el mio 3ro la FEU siempre ha logrado atendernos y resolver nuestros problemas x eso he dicho en otras carreras q la FEU de nuestra facultad si sirve en contraste a las de otras carreras q solo estan para convocar a los estudiantes a actos politicos y para dar integralidad",1
"Aunque la verdad es q si no nos llegamos y protestamos nada podran hacer nuestros representantes Lo otro es q el turno FEU no se usa tenemos tantas cosas q hacer siempre q lo hemos tirado a bonche desgraciadamente",-1
"Papa es que no me ceeo que alguien se pusiera ese nombre en ul juego",0
"VS bruno JoseA132 18 top5 top6",0
"Sí desgraciadamente ese soy yo me partiste la vida",-1
"Yo pensé que había algún otro Bruno",0
"jejje yo igual tengo lvl 20 soy sentinel que quieres coger en el lvl 20",0
"Le doy todo al ataque y defensa sólo el equipo que compro",0
"Pero no me quitan nada de equipo no",0
"pero los skills si se mantienen",0
"asi que trata de no darlr a skills que no vayas a usar segun tu clase",0
"A eso me refiero casi siempre ha sido al ataque es decir weapon mastery",0
"yo le di algunos puntos a weapon mastery y a curiosity que no me sirven para nada",-1
"no es que sea malo es que hay cosas mejores igual puedes ahorrar los puntos",0
"Sí eso hago hay niveles que sólo me deja darle a armour mastery y a curiosity no sé porqué entonces no uso los puntos",-1
"en lvl 20 te dan mas skills para usar los puntos",0
"Este canal esta genial para los que les interesa Unity aqui actualizan bastante al respecto Nuevos features etc se los recomiendo a los que son activos en esta plataforma",1
"Gente hacen falta ideas para el festival de cultura Escuchas propuestas por aqui y luego votaremos el tema también por aqui",0
"Yo tengo dos ideas una es el tema de las pseudo ciencias es decir las estupideces esas de la energía piramidal el movimiento anti vacunas etc y como la ciencia real y en particular la matemática y la computación hacen del mundo un lugar más seguro otro tema es el futuro de la IA y si nos va a gobernar spoiler alert not gonna happen los problemas morales estos de los carros que se conducen solos en fin Me parece que da para sacar unos cuantos chistes pero de todas formas yo estoy sezgado por los temas que me interesan así que no me hagan mucho caso",0
"Otra idea es hacer una suerte de historia ambientada en la pelicula The Matrix",0
"En la página de telegram está la api y varios wrappers de distintos lenguajes para que te sea más facil",0
"Entre a este grupo para jugar Secret Hitler",0
"Gente el lunes 18 la facultad necesita su apoyo a las 2 00pm tenemos partido de voly semifinal contra antiguos atletas es necesario que vayamos a apoyar a nuestro muchachos",0
"Eso es en el masculino estoy en el equipo pero no sé cuándo es la semifinal",0
"Jjj si es el masculino Femenino ya perdimos",-1
"Pero comooo si acaban d enoezar los caribesss",0
"Uy que mal por el femenino y entonces quién pasó de primero en ese grupo",0
"Jejeje sí ya estamos en semifinales la inauguración fue el martes pero nosotros empezamos el voly desde el jueves pasado",0
"Si yo sé nosotras tmb teníamos partidos antes desde antes de la inauguración sabíamos que ya no teníamos posibilidades",-1
"Por qué si ustedes siempre luchan",0
"Si no no es eso el problema es que ya el viernes estábamos fuera de competencia",-1
"Muchachos mañana hay q estar en la UH saldra una guagua a Las 8 am para ayudar con Las tareas d recuperacion A la facultad le tok mañana Please no falten",0
"Román man el entrenamiento cuando",0
"Mañana hay a las diez en el Ceder",0
"Te das cuenta de lo que te digo de la desinformación yo estoy en Matanzas y no podré ir eso hay que decirlo unos días antes para uno planificarse",-1
"Papá se canceló el entrenamiento no vaya a ser q te de x venir para ak",0
"Na no me da tan fuerte todavía",0
"Sabes si se puso para otro día",0
"Piqte me sirve mañana entrenamiento de béisbol en el Ceder lo voy a poner en la pizarra a las 2",0
"vamos a meterle las manos a economia el sabado",0
"Vayan a apoyar a la facultad en el Voleibol que la semifinal es el miércoles a las 2 00p m contra Antiguos Atletas Intentaremos darlo todo por ganar y repetir la historia de hace 3 años",1
"sorry lo busque ahora y es a las 2",0
"Alguien tiene una instalación de React Native para VS Code",0
"La solución de Google a multiplataforma Se escribe en dart in lenguaje que no tiene nada especial Mi experiencia ha Sido buenísima Una pila de paquetes una pila widgets tocados",1
"Lo programo en el vscode con un support de los dioses",1
"Pasa a verme en estos días y te los copio",1
"Yo lo q tengo es la extension React Native tools y con Node js desde el cmd creo los proyectos segun la documentacio oficial react native aunq nunca he podido probar ninguna aplicacion xq no se como probarlas d forma offline",0
"Pregunta Soy el único que tiene pésima conexión",-1
"Si te sirve de algo la mia tambien esta fatal",-1
"Es la idea está súper mala para todos",-1
"Aunque no se adapten reiniciarlo mucho es malo también",-1
"Yo la tngo un poco mala Q se m demora aproximadamente 1 min en conectarse Pero es normal a esta hora",-1
"Yo realmente casi nunca tengo que llegar a ese extremo",0
"El problema es que ETECSA no sirve de nada",-1
"Bueno siempre puedes hacer tu aporte tratando de mejorarla no Puedes trabajar en etecsa y mejorar lo que no te guste",0
"El otro dia conoci un taxista resulto ser un ingeniero en telecomunicaciones Me decia q trabajo en etecsa algunos años pero q lo defraudo mucho porque los trabajadores tiene muy buenas ideas etecsa los fondos pero q simplemente se niega a avanzar muy rapido en fin",-1
"Bueno el trabajo es entonces ser directivo de etecsa",0
"Lo importante es tratar de buscar una solucion a las cosas Es decir que si algo te molesta lo suficinete lo puedes tratar de resolver lo que puede traer muchisisimo trabajo pero se puede",1
"Segun Somoza Uno asciende proporcional a su incapacidad por lo tanto no seria de extrañar que no exista ningun ingeniero o lincenciado en informatica dentro de los peces gordos de ahi me lo corroboro el taxista",-1
"A ver tony Somoza decia que pasa eso no que tu no puedas lograrlo cualquiera de nosotros se puede convertir en la excepcion de la regla solo debes proponertelo lo que no puede suceder es que te rindas dejes las cosas como estan y solo resignarte a quejas",1
"Pfff directivo de una empresa donde el dinero no es tuyo directivo de un lugar donde no te dejarán hacer lo que quieres porque como ya dije no es tu dinero además todos sabemos que el director de la empresa tampoco es que tenga autonomía en todas las medidas respecto a lo que se va a hacer saben que siempre hay uno superior además empresa que a mi entender trabaja de la forma por ser el único hago lo que quiero es decir por ser la única empresa de telecomunicaciones en Cuba hace lo que le de la gana y pone los precios que le de la gana si no te gusta la señal o si no te gustan los precios o algo la solución es quedarte sin teléfono",-1
"que es lo q hace un taxista seduciendo a la vida",0
"Sin meterme demasiado en la discusión Voy al tomar el despreciable centro",0
"Sin disfrutar de las ganancias de su trabajo",-1
"muy buen libro la idea es precisar que si se puede cambiar lo que te propongas con el necesario esfuerzo",1
"Pero sobre todo la incapacidad de justa COMPETENCIA por un mejor servicio Que nadie se confunda No soy un neoliberal lo último que sería es un neoliberal de verdad creo en el socialismo solo que mejor",0
"Economía primer semestre primera conferencia cuando no hay competencia no sabes si vas bien o mal",0
"Boxer terminó hecho tiras sin disfrutar por su trabajo Yo conozco varios boxers",-1
"a ver primero los precios pueden ser galacticos pero como pretendes comprar infraestructura para todo un pais y dejar los precios casi gratis bancarrota Lo que deberia suceder es que paulatinamente bajen los precios",0
"Rober las estadisticas de las ganancias por la compra de paquetes de internet no engañan Etecsa gana mas de lo que está dispuesta a invertir Independientemente de la mala organización interna que posee",-1
"Claro tiene sentido los precios galácticos cuando estás en tus primero 3 5 años digamos etecsa debe llevar ya unos 10 años y con la misma infraestructura como que todos tenemos teléfono ya sabes lo que se gasta en eso que todo cubano con teléfono gaste 1 dólar al mes que no es así y creo que puede ser más pero bueno consideró que habrá mínimo unos 5 millones de dólares al mes en qué tiene que invertir etecsa en el pan con jamón y la latica de refresco de sus empleados",-1
